12[69]	M. Valerius Messalla Appianus (died 6 March)	P. Sulpicius Quirinius (January–after 29 August)
suff.	C. Valgius Rufus (March–after 29 August)	
suff.	C. Caninius Rebilus (until died in office)	L. Volusius Saturninus (until December)
11	Q. Aelius Tubero	Paullus Fabius Maximus
10	Africanus Fabius Maximus	Iullus Antonius
9	Nero Claudius Drusus	T. Quinctius Crispinus Sulpicianus
8	C. Marcius Censorinus	C. Asinius Gallus
7	Ti. Claudius Nero II	Cn. Calpurnius Piso
6	D. Laelius Balbus	C. Antistius Vetus
5[70]	Imp. Caesar Divi f. Augustus XII (January–after 11 April)	L. Cornelius Sulla (January–after 11 April)
suff.	Q. Haterius (before 1 July–December)	L. Vinicius (until 16 July or 13 August)
suff.		C. Sulpicius Galba (until end of year)
4	C. Calvisius Sabinus	L. Passienus Rufus
suff.	C. Caelius (Rufus?)	Galus Sulpicius
3	L. Cornelius Lentulus	M. Valerius Messalla Messallinus
2[71]	Imp. Caesar Divi f. Augustus XIII (January–August)	M. Plautius Silvanus (January–June)
suff.		L. Caninius Gallus (July–December)
suff.	C. Fufius Geminus (September–October)	
suff.	Q. Fabricius (November–December)	
1	Cossus Cornelius Lentulus	L. Calpurnius Piso
suff.	A. Plautius	A. Caecina Severus
